Timestamp,PM2.5,PM10,NO2,SO2,CO,Ozone,Temperature,Relative_humidity
2020-01-01 00:00:00,40.05,68.02,11.86,11.45,1.14,4.55,25.3,95
2020-01-01 01:00:00,40.05,68.02,11.86,11.45,1.14,4.55,25.1,96
2020-01-01 02:00:00,40.05,68.02,11.86,11.45,1.14,4.55,25.5,93
2020-01-01 03:00:00,40.05,68.02,11.86,11.45,1.14,4.55,26.8,85
2020-01-01 04:00:00,40.05,68.02,11.86,11.45,1.14,4.55,27.9,78
2020-01-01 05:00:00,40.05,68.02,11.86,11.45,1.14,4.55,28.7,72
2020-01-01 06:00:00,40.05,68.02,11.86,11.45,1.14,4.55,29.4,68
2020-01-01 07:00:00,40.05,68.02,11.86,11.45,1.14,4.55,29.7,67
2020-01-01 08:00:00,40.05,68.02,11.86,11.45,1.14,4.55,29.3,68
2020-01-01 09:00:00,40.05,68.02,11.86,11.45,1.14,4.55,29.2,69
2020-01-01 10:00:00,40.05,68.02,11.86,11.45,1.14,4.55,29.3,71
2020-01-01 11:00:00,40.05,68.02,11.86,11.45,1.14,4.55,29.0,74
2020-01-01 12:00:00,40.05,68.02,11.86,11.45,1.14,4.55,29.0,71
2020-01-01 13:00:00,40.05,68.02,11.86,11.45,1.14,4.55,28.1,78
2020-01-01 14:00:00,40.05,68.02,11.86,11.45,1.14,4.55,27.8,84
2020-01-01 15:00:00,40.05,68.02,11.86,11.45,1.14,4.55,27.9,81
2020-01-01 16:00:00,40.05,68.02,11.86,11.45,1.14,4.55,27.6,87
2020-01-01 17:00:00,40.05,68.02,11.86,11.45,1.14,4.55,27.1,89
2020-01-01 18:00:00,40.05,68.02,11.86,11.45,1.14,4.55,26.7,91
2020-01-01 19:00:00,40.05,68.02,11.86,11.45,1.14,4.55,26.1,95
2020-01-01 20:00:00,40.05,68.02,11.86,11.45,1.14,4.55,25.9,94
2020-01-01 21:00:00,40.05,68.02,11.86,11.45,1.14,4.55,25.9,93
2020-01-01 22:00:00,40.05,68.02,11.86,11.45,1.14,4.55,24.9,96
2020-01-01 23:00:00,40.05,68.02,11.86,11.45,1.14,4.55,24.9,96
2020-01-02 00:00:00,40.05,68.02,11.86,11.45,1.14,4.55,25.3,96
2020-01-02 01:00:00,40.05,68.02,11.86,11.45,1.14,4.55,25.2,96
2020-01-02 02:00:00,40.05,68.02,11.86,11.45,1.14,4.55,25.4,91
2020-01-02 03:00:00,40.05,68.02,11.86,11.45,1.14,4.55,26.7,81
2020-01-02 04:00:00,40.05,68.02,11.86,11.45,1.14,4.55,28.1,74
2020-01-02 05:00:00,40.05,68.02,11.86,11.45,1.14,4.55,29.3,67
2020-01-02 06:00:00,40.05,68.02,11.86,11.45,1.14,4.55,30.1,65
2020-01-02 07:00:00,40.05,68.02,11.86,11.45,1.14,4.55,30.3,67
2020-01-02 08:00:00,40.05,68.02,11.86,11.45,1.14,4.55,29.9,70
2020-01-02 09:00:00,40.05,68.02,11.86,11.45,1.14,4.55,30.2,65
2020-01-02 10:00:00,40.05,68.02,11.86,11.45,1.14,4.55,30.0,66
2020-01-02 11:00:00,40.05,68.02,11.86,11.45,1.14,4.55,29.5,70
2020-01-02 12:00:00,40.05,68.02,11.86,11.45,1.14,4.55,29.2,70
2020-01-02 13:00:00,40.05,68.02,11.86,11.45,1.14,4.55,28.5,76
2020-01-02 14:00:00,40.05,68.02,11.86,11.45,1.14,4.55,28.0,79
2020-01-02 15:00:00,40.05,68.02,11.86,11.45,1.14,4.55,27.6,83
2020-01-02 16:00:00,40.05,68.02,11.86,11.45,1.14,4.55,27.4,87
2020-01-02 17:00:00,40.05,68.02,11.86,11.45,1.14,4.55,27.3,88
2020-01-02 18:00:00,40.05,68.02,11.86,11.45,1.14,4.55,27.2,89
2020-01-02 19:00:00,40.05,68.02,11.86,11.45,1.14,4.55,27.0,90
2020-01-02 20:00:00,40.05,68.02,11.86,11.45,1.14,4.55,26.6,93
2020-01-02 21:00:00,40.05,68.02,11.86,11.45,1.14,4.55,26.0,97
2020-01-02 22:00:00,40.05,68.02,11.86,11.45,1.14,4.55,25.7,97
2020-01-02 23:00:00,40.05,68.02,11.86,11.45,1.14,4.55,25.5,97
2020-01-03 00:00:00,40.05,68.02,11.86,11.45,1.14,4.55,25.8,91
2020-01-03 01:00:00,40.05,68.02,11.86,11.45,1.14,4.55,25.6,91
2020-01-03 02:00:00,40.05,68.02,11.86,11.45,1.14,4.55,25.9,88
2020-01-03 03:00:00,40.05,68.02,11.86,11.45,1.14,4.55,27.3,79
2020-01-03 04:00:00,40.05,68.02,11.86,11.45,1.14,4.55,28.9,71
2020-01-03 05:00:00,40.05,68.02,11.86,11.45,1.14,4.55,30.0,66
2020-01-03 06:00:00,40.05,68.02,11.86,11.45,1.14,4.55,30.8,63
2020-01-03 07:00:00,40.05,68.02,11.86,11.45,1.14,4.55,30.6,65
2020-01-03 08:00:00,40.05,68.02,11.86,11.45,1.14,4.55,30.4,65
2020-01-03 09:00:00,40.05,68.02,11.86,11.45,1.14,4.55,30.7,63
2020-01-03 10:00:00,40.05,68.02,11.86,11.45,1.14,4.55,30.2,66
2020-01-03 11:00:00,40.05,68.02,11.86,11.45,1.14,4.55,29.8,71
2020-01-03 12:00:00,40.05,68.02,11.86,11.45,1.14,4.55,29.0,75
2020-01-03 13:00:00,40.05,68.02,11.86,11.45,1.14,4.55,28.6,78
2020-01-03 14:00:00,40.05,68.02,11.86,11.45,1.14,4.55,28.5,80
2020-01-03 15:00:00,40.05,68.02,11.86,11.45,1.14,4.55,28.3,83
2020-01-03 16:00:00,40.05,68.02,11.86,11.45,1.14,4.55,27.7,89
2020-01-03 17:00:00,40.05,68.02,11.86,11.45,1.14,4.55,27.4,84
2020-01-03 18:00:00,40.05,68.02,11.86,11.45,1.14,4.55,26.6,89
2020-01-03 19:00:00,40.05,68.02,11.86,11.45,1.14,4.55,25.9,92
2020-01-03 20:00:00,40.05,68.02,11.86,11.45,1.14,4.55,25.6,95
2020-01-03 21:00:00,40.05,68.02,11.86,11.45,1.14,4.55,25.4,96
2020-01-03 22:00:00,40.05,68.02,11.86,11.45,1.14,4.55,25.1,97
2020-01-03 23:00:00,40.05,68.02,11.86,11.45,1.14,4.55,25.0,96
2020-01-04 00:00:00,40.05,68.02,11.86,11.45,1.14,4.55,25.8,93
